                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1043,                 4.9969,                 1.6463,                0.13568,                0.27318,                0.15019,                0.08883,                    nan,                    nan,                    nan,             2.6644e-05,             2.6644e-05,             2.6644e-05
                      1,                  1.769,                 2.5046,                 1.3722,                0.50932,                0.55644,                0.55668,                0.32586,                    nan,                    nan,                    nan,               5.12e-05,               5.12e-05,               5.12e-05
                      2,                 1.5811,                 1.6456,                  1.271,                0.46443,                0.67263,                 0.5108,                0.30919,                    nan,                    nan,                    nan,             7.3644e-05,             7.3644e-05,             7.3644e-05
                      3,                 1.4736,                 1.3336,                 1.2039,                0.46154,                0.79041,                0.50195,                0.31621,                    nan,                    nan,                    nan,             7.0496e-05,             7.0496e-05,             7.0496e-05
                      4,                 1.4071,                 1.1866,                  1.179,                0.46389,                0.74757,                0.52351,                0.34057,                    nan,                    nan,                    nan,             7.0496e-05,             7.0496e-05,             7.0496e-05
                      5,                 1.3613,                 1.0946,                 1.1569,                0.49379,                0.76761,                0.54858,                0.37158,                    nan,                    nan,                    nan,             6.7328e-05,             6.7328e-05,             6.7328e-05
                      6,                 1.3179,                 1.0188,                 1.1398,                0.48782,                0.67979,                0.53896,                0.37574,                    nan,                    nan,                    nan,              6.416e-05,              6.416e-05,              6.416e-05
                      7,                 1.2769,                0.95018,                 1.1278,                 0.4784,                0.73993,                 0.5248,                0.37023,                    nan,                    nan,                    nan,             6.0992e-05,             6.0992e-05,             6.0992e-05
                      8,                 1.2476,                0.91042,                 1.1165,                0.45824,                0.83846,                0.49991,                0.36112,                    nan,                    nan,                    nan,             5.7824e-05,             5.7824e-05,             5.7824e-05
                      9,                 1.2286,                0.87971,                 1.1081,                0.46206,                0.85104,                0.49217,                0.35916,                    nan,                    nan,                    nan,             5.4656e-05,             5.4656e-05,             5.4656e-05
                     10,                    1.2,                0.84598,                 1.0905,                0.46258,                0.81451,                0.51785,                0.38295,                    nan,                    nan,                    nan,             5.1488e-05,             5.1488e-05,             5.1488e-05
                     11,                 1.1781,                0.82302,                 1.0842,                 0.4603,                0.81358,                0.51158,                0.38196,                    nan,                    nan,                    nan,              4.832e-05,              4.832e-05,              4.832e-05
                     12,                 1.1634,                0.80175,                 1.0823,                0.46193,                0.84537,                0.50404,                0.37791,                    nan,                    nan,                    nan,             4.5152e-05,             4.5152e-05,             4.5152e-05
                     13,                 1.1443,                0.78295,                 1.0725,                0.46792,                0.86253,                0.52112,                0.39396,                    nan,                    nan,                    nan,             4.1984e-05,             4.1984e-05,             4.1984e-05
                     14,                 1.1352,                0.76126,                 1.0651,                0.46215,                0.85947,                0.49539,                0.37731,                    nan,                    nan,                    nan,             3.8816e-05,             3.8816e-05,             3.8816e-05
                     15,                 1.1013,                0.74477,                 1.0643,                0.46775,                0.79237,                    0.5,                0.38325,                    nan,                    nan,                    nan,             3.5648e-05,             3.5648e-05,             3.5648e-05
                     16,                 1.0684,                0.71355,                 1.0481,                 0.4585,                0.83601,                0.49999,                0.38536,                    nan,                    nan,                    nan,              3.248e-05,              3.248e-05,              3.248e-05
                     17,                 1.0429,                 0.6911,                  1.034,                0.45818,                0.82539,                0.47963,                 0.3707,                    nan,                    nan,                    nan,             2.9312e-05,             2.9312e-05,             2.9312e-05
                     18,                 1.0261,                0.67836,                 1.0292,                 0.4564,                0.84698,                0.47365,                0.36786,                    nan,                    nan,                    nan,             2.6144e-05,             2.6144e-05,             2.6144e-05
                     19,                 1.0135,                0.66603,                 1.0235,                0.45767,                0.81718,                0.48003,                0.37458,                    nan,                    nan,                    nan,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     20,                 1.0024,                0.66058,                 1.0212,                0.45882,                0.80526,                0.48757,                0.38056,                    nan,                    nan,                    nan,             1.9808e-05,             1.9808e-05,             1.9808e-05
                     21,                0.98974,                0.65006,                 1.0134,                0.45912,                0.82728,                0.49664,                0.38977,                    nan,                    nan,                    nan,              1.664e-05,              1.664e-05,              1.664e-05
                     22,                0.98623,                 0.6473,                  1.011,                0.45944,                0.82548,                0.48715,                0.38397,                    nan,                    nan,                    nan,             1.3472e-05,             1.3472e-05,             1.3472e-05
                     23,                0.97827,                0.64127,                 1.0111,                0.46217,                0.79145,                0.49713,                0.39244,                    nan,                    nan,                    nan,             1.0304e-05,             1.0304e-05,             1.0304e-05
                     24,                0.97385,                0.63664,                 1.0121,                0.45704,                0.79838,                0.48453,                0.38485,                    nan,                    nan,                    nan,              7.136e-06,              7.136e-06,              7.136e-06
